Date,bbri,bmri,bbni
2021-12-30,4110.0,7025.0,6750.0
2021-12-29,4080.0,7100.0,6725.0
2021-12-28,4090.0,7050.0,6700.0
2021-12-27,4060.0,7000.0,6750.0
2021-12-24,4070.0,7050.0,6725.0
2021-12-23,4100.0,7075.0,6650.0
2021-12-22,4050.0,7050.0,6625.0
2021-12-21,4080.0,7150.0,6700.0
2021-12-20,4120.0,7075.0,6725.0
2021-12-17,4110.0,7150.0,6750.0
2021-12-16,4140.0,7250.0,6750.0
2021-12-15,4200.0,7275.0,6875.0
2021-12-14,4130.0,7175.0,6875.0
2021-12-13,4160.0,7125.0,6850.0
2021-12-10,4130.0,7200.0,6775.0
2021-12-09,4190.0,7350.0,6825.0
2021-12-08,4210.0,7150.0,6850.0
2021-12-07,4230.0,7300.0,7050.0
2021-12-06,4110.0,7175.0,6850.0
2021-12-03,4170.0,7150.0,6725.0
2021-12-02,4200.0,7200.0,6825.0
2021-12-01,4080.0,7075.0,6650.0
2021-11-30,4090.0,7000.0,6800.0
2021-11-29,4170.0,7175.0,6950.0
2021-11-26,4160.0,7100.0,6875.0
2021-11-25,4220.0,7350.0,7175.0
2021-11-24,4210.0,7150.0,7075.0
2021-11-23,4210.0,7150.0,7000.0
2021-11-22,4280.0,7350.0,7175.0
2021-11-19,4280.0,7250.0,7025.0
2021-11-18,4180.0,7175.0,6925.0
2021-11-17,4200.0,7225.0,7000.0
2021-11-16,4130.0,7225.0,6875.0
2021-11-15,4160.0,7050.0,6800.0
2021-11-12,4220.0,7100.0,6900.0
2021-11-11,4250.0,7225.0,7025.0
2021-11-10,4250.0,7150.0,7075.0
2021-11-09,4250.0,6875.0,7050.0
2021-11-08,4230.0,7000.0,7050.0
2021-11-05,4240.0,7100.0,6950.0
2021-11-04,4250.0,7175.0,7000.0
2021-11-03,4290.0,7125.0,7025.0
2021-11-02,4210.0,7025.0,6800.0
2021-11-01,4230.0,7175.0,6850.0
2021-10-29,4250.0,7175.0,7000.0
2021-10-28,4240.0,7025.0,7050.0
2021-10-27,4290.0,7150.0,7075.0
2021-10-26,4350.0,7175.0,7275.0
2021-10-25,4300.0,7125.0,7350.0
2021-10-22,4400.0,7200.0,7450.0
2021-10-21,4360.0,7175.0,7325.0
2021-10-19,4400.0,7200.0,7225.0
2021-10-18,4410.0,7175.0,7075.0
2021-10-15,4320.0,7150.0,6750.0
2021-10-14,4250.0,7175.0,6875.0
2021-10-13,4280.0,7100.0,6675.0
2021-10-12,4220.0,7000.0,6400.0
2021-10-11,4180.0,6900.0,6400.0
2021-10-08,4160.0,6900.0,6150.0
2021-10-07,4120.0,6700.0,5975.0
2021-10-06,4120.0,6600.0,6000.0
2021-10-05,3930.0,6425.0,5700.0
2021-10-04,3970.0,6475.0,5700.0
2021-10-01,3900.0,6100.0,5350.0
2021-09-30,3850.0,6150.0,5375.0
2021-09-29,3740.0,6000.0,5225.0
2021-09-28,3720.0,5950.0,5050.0
2021-09-27,3750.0,5900.0,5075.0
2021-09-24,3820.0,5975.0,5100.0
2021-09-23,3770.0,6075.0,5125.0
2021-09-22,3610.0,6075.0,5150.0
2021-09-21,3570.0,5975.0,5125.0
2021-09-20,3590.0,6025.0,5150.0
2021-09-17,3610.0,6050.0,5300.0
2021-09-16,3640.0,6150.0,5275.0
2021-09-15,3660.0,6125.0,5350.0
2021-09-14,3700.0,6100.0,5400.0
2021-09-13,3700.0,6150.0,5400.0
2021-09-10,3780.0,6200.0,5450.0
2021-09-09,3730.0,6350.0,5400.0
2021-09-08,3730.0,6250.0,5325.0
2021-09-07,3815.0,6250.0,5400.0
2021-09-06,3756.0,6200.0,5450.0
2021-09-03,3834.0,6125.0,5450.0
2021-09-02,3776.0,6050.0,5250.0
2021-09-01,3795.0,6000.0,5325.0
2021-08-31,3834.0,6100.0,5400.0
2021-08-30,3844.0,5950.0,5400.0
2021-08-27,3746.0,5800.0,5300.0
2021-08-26,3776.0,5825.0,5225.0
2021-08-25,3795.0,5950.0,5250.0
2021-08-24,3795.0,5825.0,5325.0
2021-08-23,3863.0,5975.0,5350.0
2021-08-20,3834.0,5900.0,5425.0
2021-08-19,3785.0,5850.0,5300.0
2021-08-18,3971.0,6050.0,5425.0
2021-08-16,3834.0,5975.0,5150.0
2021-08-13,3776.0,6000.0,5100.0
2021-08-12,3717.0,5925.0,5075.0
2021-08-10,3727.0,5800.0,4990.0
2021-08-09,3756.0,5800.0,4980.0
2021-08-06,3834.0,5975.0,5125.0
2021-08-05,3951.0,6050.0,5200.0
2021-08-04,3756.0,5825.0,5050.0
2021-08-03,3659.0,5775.0,4950.0
2021-08-02,3649.0,5675.0,4820.0
2021-07-30,3620.0,5700.0,4780.0
2021-07-29,3678.0,5750.0,4930.0
2021-07-28,3639.0,5900.0,4960.0
2021-07-27,3707.0,5825.0,5025.0
2021-07-26,3737.0,5800.0,5050.0
2021-07-23,3776.0,5975.0,5075.0
2021-07-22,3805.0,6050.0,5150.0
2021-07-21,3727.0,5925.0,4900.0
2021-07-19,3688.0,5750.0,4820.0
2021-07-16,3746.0,5875.0,4810.0
2021-07-15,3717.0,5875.0,4720.0
